StockCode,Description,Country,total_price
21777,RECIPE BOX WITH METAL HEART,United Kingdom,31.8
21786,POLKADOT RAIN HAT ,United Kingdom,46.08
21790,VINTAGE SNAP CARDS,United Kingdom,2.55
21791,VINTAGE HEADS AND TAILS CARD GAME ,Australia,15.0
21791,VINTAGE HEADS AND TAILS CARD GAME ,France,30.0
21791,VINTAGE HEADS AND TAILS CARD GAME ,United Kingdom,3.75
21794,CLASSIC FRENCH STYLE BASKET NATURAL,United Kingdom,6.75
21804,WHITE CHRISTMAS GARLAND STARS TREES,United Kingdom,11.25
21811,CHRISTMAS HANGING HEART WITH BELL,United Kingdom,1.25
21814,HEART T LIGHT HOLDER ,United Kingdom,14.5
21815,STAR  T LIGHT HOLDER ,United Kingdom,7.25
21816,CHRISTMAS TREE T LIGHT HOLDER,United Kingdom,2.9
21823,PAINTED METAL HEART WITH HOLLY BELL,United Kingdom,4.35
21824,PAINTED METAL STAR WITH HOLLY BELLS,United Kingdom,4.35
21832,CHOCOLATE CALCULATOR,United Kingdom,39.599999999999994
21844,RED RETROSPOT MUG,United Kingdom,17.700000000000003
21866,UNION JACK FLAG LUGGAGE TAG,United Kingdom,2.5
21867,PINK UNION JACK  LUGGAGE TAG,United Kingdom,2.5
21871,SAVE THE PLANET MUG,United Kingdom,25.44
21880,RED RETROSPOT TAPE,United Kingdom,6.5
21883,STARS GIFT TAPE ,France,15.600000000000001
21889,WOODEN BOX OF DOMINOES,United Kingdom,30.0
21890,S 6 WOODEN SKITTLES IN COTTON BAG,United Kingdom,26.55
21891,TRADITIONAL WOODEN SKIPPING ROPE,United Kingdom,32.5
21892,TRADITIONAL WOODEN CATCH CUP GAME ,United Kingdom,15.0
21894,POTTING SHED SEED ENVELOPES,United Kingdom,3.75
21895,POTTING SHED SOW  N  GROW SET,United Kingdom,4.25
21907,I M ON HOLIDAY METAL SIGN,United Kingdom,4.2
21912,VINTAGE SNAKES   LADDERS,United Kingdom,30.0
21913,VINTAGE SEASIDE JIGSAW PUZZLES,France,45.0
21914,BLUE HARMONICA IN BOX ,United Kingdom,15.0
21915,RED  HARMONICA IN BOX ,United Kingdom,105.0
21916,SET 12 RETRO WHITE CHALK STICKS,United Kingdom,0.84
21929,JUMBO BAG PINK VINTAGE PAISLEY,United Kingdom,19.5
21931,JUMBO STORAGE BAG SUKI,United Kingdom,23.4
21934,SKULL SHOULDER BAG,United Kingdom,16.5
21955,DOORMAT UNION JACK GUNS AND ROSES,United Kingdom,7.95
21975,PACK OF 60 DINOSAUR CAKE CASES,United Kingdom,26.400000000000002
21976,PACK OF 60 MUSHROOM CAKE CASES,United Kingdom,1.1
21977,PACK OF 60 PINK PAISLEY CAKE CASES,United Kingdom,41.8
21980,PACK OF 12 RED RETROSPOT TISSUES ,United Kingdom,3.7699999999999996
21983,PACK OF 12 BLUE PAISLEY TISSUES ,United Kingdom,-6.959999999999999
21984,PACK OF 12 PINK PAISLEY TISSUES ,United Kingdom,-6.959999999999999
21985,PACK OF 12 HEARTS DESIGN TISSUES ,United Kingdom,0.29
21986,PACK OF 12 PINK POLKADOT TISSUES,United Kingdom,3.4799999999999995
21992,VINTAGE PAISLEY STATIONERY SET,United Kingdom,5.9
22024,RAINY LADIES BIRTHDAY CARD,United Kingdom,5.04
22041,RECORD FRAME 7  SINGLE SIZE ,United Kingdom,100.80000000000001
22059,CERAMIC STRAWBERRY DESIGN MUG,United Kingdom,60.0
22064,PINK DOUGHNUT TRINKET POT ,United Kingdom,19.799999999999997
22068,BLACK PIRATE TREASURE CHEST,United Kingdom,3.3
22074,6 RIBBONS SHIMMERING PINKS ,United Kingdom,1.65
22075,6 RIBBONS ELEGANT CHRISTMAS ,United Kingdom,1.65
22077,6 RIBBONS RUSTIC CHARM,United Kingdom,16.5
22082,RIBBON REEL STRIPES DESIGN ,United Kingdom,16.5
22083,PAPER CHAIN KIT RETROSPOT,United Kingdom,2.95
22086,PAPER CHAIN KIT 50 S CHRISTMAS ,United Kingdom,341.4
22087,PAPER BUNTING WHITE LACE,United Kingdom,2.95
22092,BLUE PAISLEY TISSUE BOX,United Kingdom,1.25
22096,PINK PAISLEY SQUARE TISSUE BOX ,United Kingdom,1.25
22098,BOUDOIR SQUARE TISSUE BOX,United Kingdom,1.25
22099,CARAVAN SQUARE TISSUE BOX,United Kingdom,2.5
22100,SKULLS SQUARE TISSUE BOX,United Kingdom,3.75
22107,PIZZA PLATE IN BOX,United Kingdom,7.5
22109,FULL ENGLISH BREAKFAST PLATE,United Kingdom,3.75
22110,BIRD HOUSE HOT WATER BOTTLE,United Kingdom,17.849999999999998
22111,SCOTTIE DOG HOT WATER BOTTLE,United Kingdom,148.5
22112,CHOCOLATE HOT WATER BOTTLE,United Kingdom,49.50000000000001
22113,GREY HEART HOT WATER BOTTLE,United Kingdom,56.25
22114,HOT WATER BOTTLE TEA AND SYMPATHY,United Kingdom,228.80000000000004
22115,METAL SIGN EMPIRE TEA,United Kingdom,17.700000000000003
22117,METAL SIGN HER DINNER IS SERVED ,United Kingdom,2.95
22127,PARTY CONES CARNIVAL ASSORTED,United Kingdom,15.0
22128,PARTY CONES CANDY ASSORTED,United Kingdom,15.0
22130,PARTY CONE CHRISTMAS DECORATION ,United Kingdom,5.1
22139,RETROSPOT TEA SET CERAMIC 11 PC ,United Kingdom,97.75
22141,CHRISTMAS CRAFT TREE TOP ANGEL,United Kingdom,4.2
22142,CHRISTMAS CRAFT WHITE FAIRY ,United Kingdom,2.9
22144,CHRISTMAS CRAFT LITTLE FRIENDS,United Kingdom,16.8
22147,FELTCRAFT BUTTERFLY HEARTS,United Kingdom,5.8
22149,FELTCRAFT 6 FLOWER FRIENDS,United Kingdom,12.600000000000001
22150,3 STRIPEY MICE FELTCRAFT,United Kingdom,13.649999999999999
22151,PLACE SETTING WHITE HEART,United Kingdom,5.88
22152,PLACE SETTING WHITE STAR,United Kingdom,15.120000000000001
22153,ANGEL DECORATION STARS ON DRESS,United Kingdom,2.52
22168,ORGANISER WOOD ANTIQUE WHITE ,United Kingdom,17.0
22174,PHOTO CUBE,United Kingdom,71.03999999999999
22176,BLUE OWL SOFT TOY,United Kingdom,2.95
22178,VICTORIAN GLASS HANGING T LIGHT,United Kingdom,15.0
22179,SET 10 LIGHTS NIGHT OWL,United Kingdom,13.5
22180,RETROSPOT LAMP,United Kingdom,79.6
22183,CAKE STAND VICTORIAN FILIGREE MED,United Kingdom,6.75
22186,RED STAR CARD HOLDER,United Kingdom,14.75
22188,BLACK HEART CARD HOLDER,United Kingdom,153.64000000000001
22189,CREAM HEART CARD HOLDER,United Kingdom,259.88
22191,IVORY DINER WALL CLOCK,Australia,17.0
22192,BLUE DINER WALL CLOCK,Australia,17.0
22193,RED DINER WALL CLOCK,Australia,17.0
22195,LARGE HEART MEASURING SPOONS,Australia,39.599999999999994
22196,SMALL HEART MEASURING SPOONS,Australia,20.4
22197,SMALL POPCORN HOLDER,United Kingdom,120.44999999999999
22198,LARGE POPCORN HOLDER ,United Kingdom,74.15
22219,LOVEBIRD HANGING DECORATION WHITE ,United Kingdom,10.2
22224,WHITE LOVEBIRD LANTERN,United Kingdom,17.700000000000003
22241,GARLAND WOODEN HAPPY EASTER,United Kingdom,2.5
22242,5 HOOK HANGER MAGIC TOADSTOOL,United Kingdom,28.049999999999997
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,United Kingdom,16.499999999999996
22261,FELT EGG COSY WHITE RABBIT ,United Kingdom,0.85
22262,FELT EGG COSY CHICKEN,United Kingdom,0.85
22271,FELTCRAFT DOLL ROSIE,United Kingdom,5.9
22273,FELTCRAFT DOLL MOLLY,United Kingdom,11.8
22274,FELTCRAFT DOLL EMILY,United Kingdom,5.9
22294,HEART FILIGREE DOVE  SMALL,United Kingdom,91.25
22295,HEART FILIGREE DOVE LARGE,United Kingdom,1.65
22296,HEART IVORY TRELLIS LARGE,United Kingdom,39.599999999999994
22297,HEART IVORY TRELLIS SMALL,United Kingdom,31.25
22310,IVORY KNITTED MUG COSY ,United Kingdom,9.899999999999999
22312,OFFICE MUG WARMER POLKADOT,United Kingdom,2.95
22318,FIVE HEART HANGING DECORATION,United Kingdom,17.700000000000003
22321,BIRD DECORATION RED RETROSPOT,United Kingdom,10.2
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,France,70.80000000000001
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,United Kingdom,2.95
22327,ROUND SNACK BOXES SET OF 4 SKULLS,United Kingdom,5.9
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,United Kingdom,2.95
22333,RETROSPOT PARTY BAG   STICKER SET,United Kingdom,1.65
22338,STAR DECORATION PAINTED ZINC ,United Kingdom,15.600000000000001
22349,DOG BOWL CHASING BALL DESIGN,United Kingdom,45.0
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,United Kingdom,15.299999999999999
22357,KINGS CHOICE BISCUIT TIN,United Kingdom,17.0
22358,KINGS CHOICE TEA CADDY ,United Kingdom,17.700000000000003
22367,CHILDRENS APRON SPACEBOY DESIGN,United Kingdom,5.85
22371,AIRLINE BAG VINTAGE TOKYO 78,United Kingdom,17.0
22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,United Kingdom,4.25
22376,AIRLINE BAG VINTAGE JET SET WHITE,United Kingdom,4.25
22379,RECYCLING BAG RETROSPOT ,United Kingdom,21.0
22381,TOY TIDY PINK POLKADOT,United Kingdom,92.5
22382,LUNCH BAG SPACEBOY DESIGN ,United Kingdom,8.25
22383,LUNCH BAG SUKI  DESIGN ,United Kingdom,21.45
22384,LUNCH BAG PINK POLKADOT,United Kingdom,1.65
22386,JUMBO BAG PINK POLKADOT,United Kingdom,21.45
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,United Kingdom,58.5
22413,METAL SIGN TAKE IT OR LEAVE IT ,United Kingdom,11.8
22417,PACK OF 60 SPACEBOY CAKE CASES,United Kingdom,13.200000000000001
22418,10 COLOUR SPACEBOY PEN,United Kingdom,20.4
22423,REGENCY CAKESTAND 3 TIER,United Kingdom,200.7
22424,ENAMEL BREAD BIN CREAM,United Kingdom,87.6
22427,ENAMEL FLOWER JUG CREAM,United Kingdom,17.85
22428,ENAMEL FIRE BUCKET CREAM,United Kingdom,55.6
22435,SET OF 9 HEART SHAPED BALLOONS,United Kingdom,2.5
22438,BALLOON ART MAKE YOUR OWN FLOWERS,United Kingdom,1.95
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,United Kingdom,6.300000000000001
22449,SILK PURSE BABUSHKA PINK,United Kingdom,40.2
22451,SILK PURSE BABUSHKA RED,United Kingdom,23.450000000000003
22457,NATURAL SLATE HEART CHALKBOARD ,United Kingdom,35.400000000000006
22464,HANGING METAL HEART LANTERN,United Kingdom,39.599999999999994
22465,HANGING METAL STAR LANTERN,United Kingdom,19.799999999999997
22466,FAIRY TALE COTTAGE NIGHTLIGHT,United Kingdom,626.4
22467,GUMBALL COAT RACK,United Kingdom,12.75
22468,BABUSHKA LIGHTS STRING OF 10,United Kingdom,47.25
22469,HEART OF WICKER SMALL,United Kingdom,107.5
22470,HEART OF WICKER LARGE,United Kingdom,107.9
22472,TV DINNER TRAY DOLLY GIRL,United Kingdom,9.9
22473,TV DINNER TRAY VINTAGE PAISLEY,United Kingdom,4.95
22480,RED TEA TOWEL CLASSIC DESIGN,United Kingdom,15.0
22485,SET OF 2 WOODEN MARKET CRATES,United Kingdom,51.0
22488,NATURAL SLATE RECTANGLE CHALKBOARD,United Kingdom,19.799999999999997
22492,MINI PAINT SET VINTAGE ,France,23.400000000000002
22492,MINI PAINT SET VINTAGE ,United Kingdom,23.400000000000002
22500,SET OF 2 TINS JARDIN DE PROVENCE,United Kingdom,9.9
22502,PICNIC BASKET WICKER SMALL,United Kingdom,35.7
22508,DOORSTOP RETROSPOT HEART,United Kingdom,30.0
22511,RETROSPOT BABUSHKA DOORSTOP,United Kingdom,15.0
22529,MAGIC DRAWING SLATE GO TO THE FAIR ,United Kingdom,1.26
22530,MAGIC DRAWING SLATE DOLLY GIRL ,United Kingdom,1.26
22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,United Kingdom,1.68
22533,MAGIC DRAWING SLATE BAKE A CAKE ,United Kingdom,10.08
22534,MAGIC DRAWING SLATE SPACEBOY ,United Kingdom,1.26
22537,MAGIC DRAWING SLATE DINOSAUR,United Kingdom,10.08
22540,MINI JIGSAW CIRCUS PARADE ,France,10.08
22544,MINI JIGSAW SPACEBOY,France,10.08
22549,PICTURE DOMINOES,United Kingdom,1.45
22551,PLASTERS IN TIN SPACEBOY,United Kingdom,6.6
22553,PLASTERS IN TIN SKULLS,United Kingdom,-18.15
22554,PLASTERS IN TIN WOODLAND ANIMALS,United Kingdom,4.949999999999999
22556,PLASTERS IN TIN CIRCUS PARADE ,United Kingdom,-19.799999999999997
22557,PLASTERS IN TIN VINTAGE PAISLEY ,United Kingdom,-9.899999999999999
22558,CLOTHES PEGS RETROSPOT PACK 24 ,United Kingdom,62.98
22565,FELTCRAFT HAIRBANDS PINK AND WHITE ,United Kingdom,2.55
22566,FELTCRAFT HAIRBAND PINK AND PURPLE,United Kingdom,2.55
22568,FELTCRAFT CUSHION OWL,United Kingdom,15.0
22569,FELTCRAFT CUSHION BUTTERFLY,United Kingdom,15.0
22570,FELTCRAFT CUSHION RABBIT,United Kingdom,11.25
22571,ROCKING HORSE RED CHRISTMAS ,United Kingdom,69.12
22573,STAR WOODEN CHRISTMAS DECORATION,United Kingdom,0.85
22575,METAL MERRY CHRISTMAS WREATH,United Kingdom,1.95
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,United Kingdom,0.85
22580,ADVENT CALENDAR GINGHAM SACK,United Kingdom,5.95
22582,PACK OF 6 SWEETIE GIFT BOXES,United Kingdom,7.6499999999999995
22583,PACK OF 6 HANDBAG GIFT BOXES,United Kingdom,10.2
22585,PACK OF 6 BIRDY GIFT TAGS,United Kingdom,18.75
22587,FELTCRAFT HAIRBAND RED AND BLUE,United Kingdom,3.4
22588,CARD HOLDER GINGHAM HEART,United Kingdom,5.1
22593,CHRISTMAS GINGHAM STAR,United Kingdom,107.08
22594,CHRISTMAS GINGHAM TREE,United Kingdom,4.25
22595,CHRISTMAS GINGHAM HEART,United Kingdom,108.77999999999999
22603,CHRISTMAS RETROSPOT TREE WOOD,United Kingdom,1.7
22604,SET OF 4 NAPKIN CHARMS CUTLERY,United Kingdom,7.6499999999999995
22610,PENS ASSORTED FUNNY FACE,United Kingdom,30.599999999999998
22616,PACK OF 12 LONDON TISSUES ,United Kingdom,6.959999999999999
22618,COOKING SET RETROSPOT,United Kingdom,19.9
22619,SET OF 6 SOLDIER SKITTLES,United Kingdom,93.75
22620,4 TRADITIONAL SPINNING TOPS,United Kingdom,22.5
22622,BOX OF VINTAGE ALPHABET BLOCKS,United Kingdom,19.9
22623,BOX OF VINTAGE JIGSAW BLOCKS ,United Kingdom,14.850000000000001
22629,SPACEBOY LUNCH BOX ,France,46.8
22629,SPACEBOY LUNCH BOX ,United Kingdom,1.95
22630,DOLLY GIRL LUNCH BOX,United Kingdom,5.85
22631,CIRCUS PARADE LUNCH BOX ,France,46.8
22632,HAND WARMER RED POLKA DOT,United Kingdom,55.50000000000001
22632,HAND WARMER RED RETROSPOT,United Kingdom,267.9
22633,HAND WARMER UNION JACK,United Kingdom,342.30000000000007
22637,PIGGY BANK RETROSPOT ,United Kingdom,53.55
22642,SET OF 4 NAPKIN CHARMS STARS   ,United Kingdom,10.2
22643,SET OF 4 NAPKIN CHARMS LEAVES   ,United Kingdom,10.2
22644,CERAMIC CHERRY CAKE MONEY BANK,United Kingdom,18.849999999999998
22645,CERAMIC HEART FAIRY CAKE MONEY BANK,United Kingdom,17.4
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,United Kingdom,23.2
22650,CERAMIC PIRATE CHEST MONEY BANK,United Kingdom,17.4
22651,GENTLEMAN SHIRT REPAIR KIT ,United Kingdom,1.7
22652,TRAVEL SEWING KIT,United Kingdom,41.25
22653,BUTTON BOX ,United Kingdom,1.95
22654,DELUXE SEWING KIT ,United Kingdom,198.0
22659,LUNCH BOX I LOVE LONDON,France,46.8
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,France,17.0
22662,LUNCH BAG DOLLY GIRL DESIGN,United Kingdom,24.75
22663,JUMBO BAG DOLLY GIRL DESIGN,United Kingdom,21.45
22664,TOY TIDY DOLLY GIRL DESIGN,United Kingdom,2.1
22670,FRENCH WC SIGN BLUE METAL,United Kingdom,16.25
22694,WICKER STAR ,United Kingdom,10.5
22695,WICKER WREATH SMALL,United Kingdom,4.35
22706,WRAP COWBOYS  ,United Kingdom,10.5
22712,CARD DOLLY GIRL ,United Kingdom,5.04
22713,CARD I LOVE LONDON ,United Kingdom,5.04
22714,CARD BIRTHDAY COWBOY,United Kingdom,5.04
22716,CARD CIRCUS PARADE,United Kingdom,5.04
22719,GUMBALL MONOCHROME COAT RACK,United Kingdom,38.160000000000004
22726,ALARM CLOCK BAKELIKE GREEN,Australia,15.0
22726,ALARM CLOCK BAKELIKE GREEN,France,45.0
22726,ALARM CLOCK BAKELIKE GREEN,United Kingdom,45.0
22727,ALARM CLOCK BAKELIKE RED ,Australia,15.0
22727,ALARM CLOCK BAKELIKE RED ,France,90.0
22727,ALARM CLOCK BAKELIKE RED ,United Kingdom,30.0
22728,ALARM CLOCK BAKELIKE PINK,France,90.0
22729,ALARM CLOCK BAKELIKE ORANGE,United Kingdom,30.0
22730,ALARM CLOCK BAKELIKE IVORY,United Kingdom,15.0
