,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
93,536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,01-12-2010 09:37,2.55,14688.0,United Kingdom
94,536378,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,01-12-2010 09:37,2.55,14688.0,United Kingdom
95,536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,01-12-2010 09:37,0.42,14688.0,United Kingdom
96,536378,21975,PACK OF 60 DINOSAUR CAKE CASES,24,01-12-2010 09:37,0.55,14688.0,United Kingdom
97,536378,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,01-12-2010 09:37,0.55,14688.0,United Kingdom
98,536378,84991,60 TEATIME FAIRY CAKE CASES,24,01-12-2010 09:37,0.55,14688.0,United Kingdom
99,536378,84519A,TOMATO CHARLIE LOLA COASTER SET,6,01-12-2010 09:37,2.95,14688.0,United Kingdom
100,536378,85183B,CHARLIE   LOLA WASTEPAPER BIN FLORA,48,01-12-2010 09:37,1.25,14688.0,United Kingdom
101,536378,85071B,RED CHARLIE LOLA PERSONAL DOORSIGN,96,01-12-2010 09:37,0.38,14688.0,United Kingdom
102,536378,21931,JUMBO STORAGE BAG SUKI,10,01-12-2010 09:37,1.95,14688.0,United Kingdom
103,536378,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,01-12-2010 09:37,1.95,14688.0,United Kingdom
104,536380,22961,JAM MAKING SET PRINTED,24,01-12-2010 09:41,1.45,17809.0,United Kingdom
105,536381,22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,01-12-2010 09:41,4.25,15311.0,United Kingdom
106,536381,84854,GIRLY PINK TOOL SET,5,01-12-2010 09:41,4.95,15311.0,United Kingdom
107,536381,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,01-12-2010 09:41,1.95,15311.0,United Kingdom
108,536381,82567,AIRLINE LOUNGE METAL SIGN,2,01-12-2010 09:41,2.1,15311.0,United Kingdom
109,536381,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,01-12-2010 09:41,1.25,15311.0,United Kingdom
110,536381,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,01-12-2010 09:41,1.25,15311.0,United Kingdom
111,536381,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,01-12-2010 09:41,1.25,15311.0,United Kingdom
112,536381,71270,PHOTO CLIP LINE,1,01-12-2010 09:41,1.25,15311.0,United Kingdom
113,536381,22262,FELT EGG COSY CHICKEN,1,01-12-2010 09:41,0.85,15311.0,United Kingdom
114,536381,22637,PIGGY BANK RETROSPOT ,1,01-12-2010 09:41,2.55,15311.0,United Kingdom
115,536381,21934,SKULL SHOULDER BAG,10,01-12-2010 09:41,1.65,15311.0,United Kingdom
116,536381,21169,YOU RE CONFUSING ME METAL SIGN ,3,01-12-2010 09:41,1.69,15311.0,United Kingdom
117,536381,21166,COOK WITH WINE METAL SIGN ,1,01-12-2010 09:41,1.95,15311.0,United Kingdom
118,536381,21175,GIN   TONIC DIET METAL SIGN,2,01-12-2010 09:41,2.1,15311.0,United Kingdom
119,536381,37444A,YELLOW BREAKFAST CUP AND SAUCER,1,01-12-2010 09:41,2.95,15311.0,United Kingdom
120,536381,37444C,PINK BREAKFAST CUP AND SAUCER ,1,01-12-2010 09:41,2.95,15311.0,United Kingdom
121,536381,22086,PAPER CHAIN KIT 50 S CHRISTMAS ,4,01-12-2010 09:41,2.95,15311.0,United Kingdom
122,536381,22083,PAPER CHAIN KIT RETROSPOT,1,01-12-2010 09:41,2.95,15311.0,United Kingdom
123,536381,84971S,SMALL HEART FLOWERS HOOK ,6,01-12-2010 09:41,0.85,15311.0,United Kingdom
124,536381,71270,PHOTO CLIP LINE,3,01-12-2010 09:41,1.25,15311.0,United Kingdom
125,536381,47580,TEA TIME DES TEA COSY,2,01-12-2010 09:41,2.55,15311.0,United Kingdom
126,536381,22261,FELT EGG COSY WHITE RABBIT ,1,01-12-2010 09:41,0.85,15311.0,United Kingdom
127,536381,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,01-12-2010 09:41,0.85,15311.0,United Kingdom
128,536381,22644,CERAMIC CHERRY CAKE MONEY BANK,1,01-12-2010 09:41,1.45,15311.0,United Kingdom
129,536381,21533,RETROSPOT LARGE MILK JUG,1,01-12-2010 09:41,4.95,15311.0,United Kingdom
130,536381,21557,SET OF 6 FUNKY BEAKERS,2,01-12-2010 09:41,2.95,15311.0,United Kingdom
131,536381,15056BL,EDWARDIAN PARASOL BLACK,2,01-12-2010 09:41,5.95,15311.0,United Kingdom
132,536381,15056N,EDWARDIAN PARASOL NATURAL,2,01-12-2010 09:41,5.95,15311.0,United Kingdom
133,536381,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,01-12-2010 09:41,1.45,15311.0,United Kingdom
134,536381,22176,BLUE OWL SOFT TOY,1,01-12-2010 09:41,2.95,15311.0,United Kingdom
135,536381,22438,BALLOON ART MAKE YOUR OWN FLOWERS,1,01-12-2010 09:41,1.95,15311.0,United Kingdom
136,536381,21731,RED TOADSTOOL LED NIGHT LIGHT,2,01-12-2010 09:41,1.65,15311.0,United Kingdom
137,536381,22778,GLASS CLOCHE SMALL,3,01-12-2010 09:41,3.95,15311.0,United Kingdom
138,536381,22719,GUMBALL MONOCHROME COAT RACK,36,01-12-2010 09:41,1.06,15311.0,United Kingdom
139,536381,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,01-12-2010 09:41,6.75,15311.0,United Kingdom
140,C536379,D,Discount,-1,01-12-2010 09:41,27.5,14527.0,United Kingdom
141,536382,10002,INFLATABLE POLITICAL GLOBE ,12,01-12-2010 09:45,0.85,16098.0,United Kingdom
142,536382,21912,VINTAGE SNAKES   LADDERS,8,01-12-2010 09:45,3.75,16098.0,United Kingdom
143,536382,21832,CHOCOLATE CALCULATOR,12,01-12-2010 09:45,1.65,16098.0,United Kingdom
144,536382,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,01-12-2010 09:45,1.95,16098.0,United Kingdom
145,536382,22379,RECYCLING BAG RETROSPOT ,10,01-12-2010 09:45,2.1,16098.0,United Kingdom
146,536382,22381,TOY TIDY PINK POLKADOT,50,01-12-2010 09:45,1.85,16098.0,United Kingdom
147,536382,22798,ANTIQUE GLASS DRESSING TABLE POT,8,01-12-2010 09:45,2.95,16098.0,United Kingdom
148,536382,22726,ALARM CLOCK BAKELIKE GREEN,4,01-12-2010 09:45,3.75,16098.0,United Kingdom
149,536382,22926,IVORY GIANT GARDEN THERMOMETER,12,01-12-2010 09:45,5.95,16098.0,United Kingdom
150,536382,22839,3 TIER CAKE TIN GREEN AND CREAM,2,01-12-2010 09:45,14.95,16098.0,United Kingdom
151,536382,22838,3 TIER CAKE TIN RED AND CREAM,2,01-12-2010 09:45,14.95,16098.0,United Kingdom
152,536382,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,01-12-2010 09:45,16.95,16098.0,United Kingdom
153,C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,01-12-2010 09:49,4.65,15311.0,United Kingdom
154,536384,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,01-12-2010 09:53,6.45,18074.0,United Kingdom
155,536384,84755,COLOUR GLASS T LIGHT HOLDER HANGING,48,01-12-2010 09:53,0.65,18074.0,United Kingdom
156,536384,22464,HANGING METAL HEART LANTERN,12,01-12-2010 09:53,1.65,18074.0,United Kingdom
157,536384,21324,HANGING MEDINA LANTERN SMALL,6,01-12-2010 09:53,2.95,18074.0,United Kingdom
158,536384,22457,NATURAL SLATE HEART CHALKBOARD ,12,01-12-2010 09:53,2.95,18074.0,United Kingdom
159,536384,22469,HEART OF WICKER SMALL,40,01-12-2010 09:53,1.45,18074.0,United Kingdom
160,536384,22470,HEART OF WICKER LARGE,40,01-12-2010 09:53,2.55,18074.0,United Kingdom
161,536384,22224,WHITE LOVEBIRD LANTERN,6,01-12-2010 09:53,2.95,18074.0,United Kingdom
162,536384,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,01-12-2010 09:53,12.75,18074.0,United Kingdom
163,536384,22189,CREAM HEART CARD HOLDER,4,01-12-2010 09:53,3.95,18074.0,United Kingdom
164,536384,22427,ENAMEL FLOWER JUG CREAM,3,01-12-2010 09:53,5.95,18074.0,United Kingdom
165,536384,22428,ENAMEL FIRE BUCKET CREAM,6,01-12-2010 09:53,6.95,18074.0,United Kingdom
166,536384,22424,ENAMEL BREAD BIN CREAM,8,01-12-2010 09:53,10.95,18074.0,United Kingdom
167,536385,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,01-12-2010 09:56,19.95,17420.0,United Kingdom
168,536385,22961,JAM MAKING SET PRINTED,12,01-12-2010 09:56,1.45,17420.0,United Kingdom
169,536385,22960,JAM MAKING SET WITH JARS,6,01-12-2010 09:56,4.25,17420.0,United Kingdom
170,536385,22663,JUMBO BAG DOLLY GIRL DESIGN,10,01-12-2010 09:56,1.95,17420.0,United Kingdom
171,536385,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,01-12-2010 09:56,1.25,17420.0,United Kingdom
172,536385,22168,ORGANISER WOOD ANTIQUE WHITE ,2,01-12-2010 09:56,8.5,17420.0,United Kingdom
173,536385,22662,LUNCH BAG DOLLY GIRL DESIGN,10,01-12-2010 09:56,1.65,17420.0,United Kingdom
174,536386,84880,WHITE WIRE EGG HOLDER,36,01-12-2010 09:57,4.95,16029.0,United Kingdom
175,536386,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,01-12-2010 09:57,1.65,16029.0,United Kingdom
176,536386,85099B,JUMBO BAG RED RETROSPOT,100,01-12-2010 09:57,1.65,16029.0,United Kingdom
177,536387,79321,CHILLI LIGHTS,192,01-12-2010 09:58,3.82,16029.0,United Kingdom
178,536387,22780,LIGHT GARLAND BUTTERFILES PINK,192,01-12-2010 09:58,3.37,16029.0,United Kingdom
179,536387,22779,WOODEN OWLS LIGHT GARLAND ,192,01-12-2010 09:58,3.37,16029.0,United Kingdom
180,536387,22466,FAIRY TALE COTTAGE NIGHTLIGHT,432,01-12-2010 09:58,1.45,16029.0,United Kingdom
181,536387,21731,RED TOADSTOOL LED NIGHT LIGHT,432,01-12-2010 09:58,1.25,16029.0,United Kingdom
182,536388,21754,HOME BUILDING BLOCK WORD,3,01-12-2010 09:59,5.95,16250.0,United Kingdom
183,536388,21755,LOVE BUILDING BLOCK WORD,3,01-12-2010 09:59,5.95,16250.0,United Kingdom
184,536388,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,01-12-2010 09:59,7.95,16250.0,United Kingdom
185,536388,21363,HOME SMALL WOOD LETTERS,3,01-12-2010 09:59,4.95,16250.0,United Kingdom
186,536388,21411,GINGHAM HEART  DOORSTOP RED,3,01-12-2010 09:59,4.25,16250.0,United Kingdom
187,536388,22318,FIVE HEART HANGING DECORATION,6,01-12-2010 09:59,2.95,16250.0,United Kingdom
188,536388,22464,HANGING METAL HEART LANTERN,12,01-12-2010 09:59,1.65,16250.0,United Kingdom
189,536388,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,01-12-2010 09:59,0.42,16250.0,United Kingdom
190,536388,22922,FRIDGE MAGNETS US DINER ASSORTED,12,01-12-2010 09:59,0.85,16250.0,United Kingdom
191,536388,22969,HOMEMADE JAM SCENTED CANDLES,12,01-12-2010 09:59,1.45,16250.0,United Kingdom
192,536388,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,01-12-2010 09:59,0.85,16250.0,United Kingdom
193,536388,21115,ROSE CARAVAN DOORSTOP,4,01-12-2010 09:59,6.75,16250.0,United Kingdom
194,536388,22469,HEART OF WICKER SMALL,12,01-12-2010 09:59,1.65,16250.0,United Kingdom
195,536388,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,01-12-2010 09:59,1.65,16250.0,United Kingdom
196,536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,01-12-2010 10:03,8.5,12431.0,Australia
197,536389,21622,VINTAGE UNION JACK CUSHION COVER,8,01-12-2010 10:03,4.95,12431.0,Australia
198,536389,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,01-12-2010 10:03,1.25,12431.0,Australia
199,536389,35004C,SET OF 3 COLOURED  FLYING DUCKS,6,01-12-2010 10:03,5.45,12431.0,Australia
200,536389,35004G,SET OF 3 GOLD FLYING DUCKS,4,01-12-2010 10:03,6.35,12431.0,Australia
201,536389,85014B,RED RETROSPOT UMBRELLA,6,01-12-2010 10:03,5.95,12431.0,Australia
202,536389,85014A,BLACK BLUE POLKADOT UMBRELLA,3,01-12-2010 10:03,5.95,12431.0,Australia
203,536389,22193,RED DINER WALL CLOCK,2,01-12-2010 10:03,8.5,12431.0,Australia
204,536389,22726,ALARM CLOCK BAKELIKE GREEN,4,01-12-2010 10:03,3.75,12431.0,Australia
205,536389,22727,ALARM CLOCK BAKELIKE RED ,4,01-12-2010 10:03,3.75,12431.0,Australia
206,536389,22192,BLUE DINER WALL CLOCK,2,01-12-2010 10:03,8.5,12431.0,Australia
207,536389,22191,IVORY DINER WALL CLOCK,2,01-12-2010 10:03,8.5,12431.0,Australia
208,536389,22195,LARGE HEART MEASURING SPOONS,24,01-12-2010 10:03,1.65,12431.0,Australia
209,536389,22196,SMALL HEART MEASURING SPOONS,24,01-12-2010 10:03,0.85,12431.0,Australia
210,536390,22941,CHRISTMAS LIGHTS 10 REINDEER,2,01-12-2010 10:19,8.5,17511.0,United Kingdom
211,536390,22960,JAM MAKING SET WITH JARS,12,01-12-2010 10:19,3.75,17511.0,United Kingdom
212,536390,22961,JAM MAKING SET PRINTED,12,01-12-2010 10:19,1.45,17511.0,United Kingdom
213,536390,22962,JAM JAR WITH PINK LID,48,01-12-2010 10:19,0.72,17511.0,United Kingdom
214,536390,22963,JAM JAR WITH GREEN LID,48,01-12-2010 10:19,0.72,17511.0,United Kingdom
215,536390,22968,ROSE COTTAGE KEEPSAKE BOX ,8,01-12-2010 10:19,8.5,17511.0,United Kingdom
216,536390,84970S,HANGING HEART ZINC T LIGHT HOLDER,144,01-12-2010 10:19,0.64,17511.0,United Kingdom
217,536390,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,01-12-2010 10:19,2.55,17511.0,United Kingdom
218,536390,20668,DISCO BALL CHRISTMAS DECORATION,288,01-12-2010 10:19,0.1,17511.0,United Kingdom
219,536390,85123A,WHITE HANGING HEART T LIGHT HOLDER,64,01-12-2010 10:19,2.55,17511.0,United Kingdom
220,536390,22197,SMALL POPCORN HOLDER,100,01-12-2010 10:19,0.72,17511.0,United Kingdom
221,536390,22198,LARGE POPCORN HOLDER ,50,01-12-2010 10:19,1.45,17511.0,United Kingdom
222,536390,21533,RETROSPOT LARGE MILK JUG,12,01-12-2010 10:19,4.25,17511.0,United Kingdom
223,536390,21080,SET 20 RED RETROSPOT PAPER NAPKINS ,96,01-12-2010 10:19,0.64,17511.0,United Kingdom
224,536390,21094,SET 6 RED SPOTTY PAPER PLATES,96,01-12-2010 10:19,0.64,17511.0,United Kingdom
225,536390,21086,SET 6 RED SPOTTY PAPER CUPS,48,01-12-2010 10:19,0.65,17511.0,United Kingdom
226,536390,21786,POLKADOT RAIN HAT ,144,01-12-2010 10:19,0.32,17511.0,United Kingdom
227,536390,22654,DELUXE SEWING KIT ,40,01-12-2010 10:19,4.95,17511.0,United Kingdom
228,536390,21485,RETROSPOT HEART HOT WATER BOTTLE,24,01-12-2010 10:19,4.25,17511.0,United Kingdom
229,536390,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,01-12-2010 10:19,3.39,17511.0,United Kingdom
230,536390,84030E,ENGLISH ROSE HOT WATER BOTTLE,24,01-12-2010 10:19,3.75,17511.0,United Kingdom
231,536390,22174,PHOTO CUBE,48,01-12-2010 10:19,1.48,17511.0,United Kingdom
232,536390,22969,HOMEMADE JAM SCENTED CANDLES,96,01-12-2010 10:19,1.25,17511.0,United Kingdom
233,536390,85099B,JUMBO BAG RED RETROSPOT,100,01-12-2010 10:19,1.65,17511.0,United Kingdom
234,C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,01-12-2010 10:24,1.65,17548.0,United Kingdom
235,C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,01-12-2010 10:24,0.29,17548.0,United Kingdom
236,C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,01-12-2010 10:24,0.29,17548.0,United Kingdom
237,C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,01-12-2010 10:24,0.29,17548.0,United Kingdom
238,C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,01-12-2010 10:24,3.45,17548.0,United Kingdom
239,C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,01-12-2010 10:24,1.65,17548.0,United Kingdom
240,C536391,22553,PLASTERS IN TIN SKULLS,-24,01-12-2010 10:24,1.65,17548.0,United Kingdom
241,536392,22150,3 STRIPEY MICE FELTCRAFT,6,01-12-2010 10:29,1.95,13705.0,United Kingdom
242,536392,22619,SET OF 6 SOLDIER SKITTLES,4,01-12-2010 10:29,3.75,13705.0,United Kingdom
